name,mz,rt,W03.01,W30.01,W30.02
M101T1362,101.0790725,1361.73,9794.4875,12745.68,9286.671765
M101T1318,101.0791226,1317.74,16004.89517,8262.826667,17836.33091
M101T1335,101.0964417,1335.49,14605.22685,14711.71813,6844.5
M101T62,101.0956221,61.572,25227.07733,29911.94978,18560.20438
M101T394,101.106247,394.052,1154.668211,4416.096621,4354.356525
M102T514,102.0364352,513.625,1190.912651,357.559768,857.4832703
M102T86,102.0368525,85.8505,892.1845833,277.9793447,1813.074699
M102T733,102.0547304,732.961,21774.46642,4833.182138,28517.746
M102T676,102.0548188,675.582,36853.65163,42484.18743,12582.08953
M102T651,102.0912681,650.884,128570.3635,179382.2033,95966.84055
M102T178,102.0906999,177.76,25957.61792,28954.5819,35169.1275
M102T591,102.0913405,590.591,844825.1631,107546.8523,634612.121
M102T560,102.0912991,560.3635,269862.0564,22844.6975,375633.2902
M102T368,102.1012215,368.015,378.5499,1031.558036,1189.859146
M102T1320,102.1273156,1319.62,11313.71256,9785.1904,11261.03327
M102T1356,102.1272588,1356.415,10613.58008,13295.70968,10367.30632
M102T1287,102.1274288,1287.48,9834.251248,5674.77,9012.028102
M103T651,103.0383544,651.253,76422.06318,3749.93955,18702.32932
M103T463,103.0534123,462.554,7403.907,1639.364714,6764.090667
M103T74,103.0536503,74.261,9540.980609,6073.34735,7195.805362
M103T733,103.0576159,733.337,455.185,1959.306451,2020.259357
M104T685_1,103.7509704,684.935,1031.000174,750.3333702,726.6633077
M104T489,103.7882248,489.058,25214.1379,20519.99393,39963.92232
M104T717,103.7872149,716.944,800.052,269.2562533,1037.031344
M104T48,103.9539161,48.3315,3227.28,1343.091785,3686.458773
M104T652,104.0417017,651.733,1981.993846,912.0932007,1545.70118
M104T513,104.0521895,513.2555,2316.993632,128632.5552,1984.690154
M104T463,104.0569794,462.554,1150.927263,20745.37806,850.2914444
M104T685_2,104.0708896,685.0255,293067.264,138647.8635,297984.8986
M104T120,104.0701273,119.801,5288.4342,1751.904714,7159.559385
M104T488,104.1079016,488.3605,8995433.752,5079447.984,9731662.606
M104T718,104.1068826,717.649,315861.7166,53569.38453,212140.9316
M105T489,104.7884928,488.524,1088.896,1819.073576,1744.586
M105T642,104.9918762,642.403,26658.71288,6472.679882,50484.13579
M105T337,105.0328151,336.661,3318.151271,1496.508,10302.51929
M105T352,105.0328692,352.06,2548.79961,1017.984,5886.056591
M105T685,105.0734783,685.061,11693.33364,5317.12,13059.54167
M105T488,105.1103196,488.3605,438877.872,237251.4814,463938.1005
M105T718,105.1098161,717.643,9928.986353,1938.35205,12457.04895
M106T48,105.9519478,47.904,875.25,439.3716958,1253.278
